2012-12-15 00:00:00.000,13,3,3
2012-10-03 00:00:00.000,141,5,1
2013-01-03 00:00:00.000,115,8,3
2012-09-24 00:00:00.000,135,10,4
2012-09-06 00:00:00.000,142,1,1
2012-12-23 00:00:00.000,108,4,2
2012-12-08 00:00:00.000,145,5,1
2013-01-14 00:00:00.000,147,11,6
2012-10-12 00:00:00.000,120,4,2
2012-09-03 00:00:00.000,4,1,3
2013-01-18 00:00:00.000,46,3,2
2013-01-17 00:00:00.000,85,3,1
2012-11-11 00:00:00.000,109,3,1
2012-10-09 00:00:00.000,92,8,1
2012-09-17 00:00:00.000,28,2,3
2013-01-12 00:00:00.000,64,4,1
2012-11-29 00:00:00.000,4,12,2
2012-10-22 00:00:00.000,25,4,4
2013-01-21 00:00:00.000,42,11,5
2012-12-18 00:00:00.000,23,8,5
2012-12-23 00:00:00.000,76,7,2
2012-12-02 00:00:00.000,69,5,2
2012-10-02 00:00:00.000,150,1,2
2013-01-14 00:00:00.000,112,10,2
2012-11-04 00:00:00.000,18,7,2
2012-12-12 00:00:00.000,77,10,5
2013-01-14 00:00:00.000,54,4,5
2012-12-06 00:00:00.000,117,5,1
2012-09-30 00:00:00.000,74,6,4
2012-10-28 00:00:00.000,151,12,2
2012-11-09 00:00:00.000,125,6,5
2012-10-08 00:00:00.000,32,5,5
2012-10-04 00:00:00.000,34,12,6
2012-12-31 00:00:00.000,153,3,5
2012-11-06 00:00:00.000,27,10,1
2012-10-04 00:00:00.000,137,1,4
2012-09-28 00:00:00.000,46,9,2
2012-09-12 00:00:00.000,148,5,3
2013-01-14 00:00:00.000,30,9,5
2013-01-14 00:00:00.000,36,11,3
2012-12-05 00:00:00.000,54,7,5
2012-12-11 00:00:00.000,24,2,3
2012-11-15 00:00:00.000,24,3,2
2012-09-14 00:00:00.000,151,1,2
2012-10-13 00:00:00.000,132,8,4
2012-09-16 00:00:00.000,127,3,2
2012-09-29 00:00:00.000,123,2,1
2012-12-19 00:00:00.000,86,2,1
2012-12-08 00:00:00.000,18,12,6
2012-10-14 00:00:00.000,74,8,5
2012-12-18 00:00:00.000,111,2,6
2013-01-17 00:00:00.000,100,2,4
2012-12-13 00:00:00.000,90,11,3
2012-12-08 00:00:00.000,70,5,2
2012-09-13 00:00:00.000,103,10,4
2013-01-01 00:00:00.000,18,11,5
2012-09-03 00:00:00.000,105,4,6
2012-11-25 00:00:00.000,58,6,2
2012-11-25 00:00:00.000,144,11,6
2013-01-21 00:00:00.000,1,11,5
2012-11-29 00:00:00.000,32,10,2
2012-09-19 00:00:00.000,33,8,6
2012-09-06 00:00:00.000,109,2,3
2012-09-05 00:00:00.000,87,8,6
2012-10-11 00:00:00.000,41,12,3
2012-12-05 00:00:00.000,152,10,3
2013-01-22 00:00:00.000,94,6,4
2013-01-08 00:00:00.000,69,2,5
2012-12-11 00:00:00.000,1,5,5
2012-11-29 00:00:00.000,44,10,2
2012-10-13 00:00:00.000,34,5,5
2013-01-13 00:00:00.000,21,12,5
2013-01-10 00:00:00.000,136,7,2
2012-10-25 00:00:00.000,105,4,2
2012-11-20 00:00:00.000,12,7,2
2013-01-12 00:00:00.000,95,4,2
2012-12-15 00:00:00.000,111,6,2
2012-09-27 00:00:00.000,100,2,1
2012-12-08 00:00:00.000,56,4,3
2012-09-09 00:00:00.000,80,1,6
2012-11-12 00:00:00.000,146,6,3
2012-11-16 00:00:00.000,82,11,1
2012-12-27 00:00:00.000,94,12,6
2012-10-06 00:00:00.000,41,7,3
2012-10-04 00:00:00.000,139,2,5
2012-09-22 00:00:00.000,56,1,3
2013-01-03 00:00:00.000,46,8,4
2013-01-10 00:00:00.000,8,5,4
2013-01-03 00:00:00.000,52,7,6
2012-10-24 00:00:00.000,120,4,4
2012-10-02 00:00:00.000,60,4,3
2012-10-29 00:00:00.000,122,4,6
2012-11-30 00:00:00.000,6,7,2
2012-09-25 00:00:00.000,53,8,2
2012-09-27 00:00:00.000,90,1,3
2012-11-21 00:00:00.000,152,9,6
2012-12-26 00:00:00.000,41,2,6
2012-10-05 00:00:00.000,31,10,3
2012-11-16 00:00:00.000,30,6,1
2012-10-16 00:00:00.000,63,7,6
2012-09-25 00:00:00.000,140,8,1
2012-10-18 00:00:00.000,19,1,1
2012-10-07 00:00:00.000,18,3,4
2012-10-31 00:00:00.000,100,1,6
2013-01-16 00:00:00.000,35,6,6
2013-01-21 00:00:00.000,82,7,5
